Name,Comment,1/K0,RT,1/K0 radius,RT radius,Color
0,0,"0,575","114,1","0,003","6,0",-6684775
1,1,"0,644","27,9","0,004","2,7",-6684775
2,2,"0,601","29,2","0,004","2,2",-6684775
3,3,"0,580","22,6","0,003","2,3",-6684775
4,4,"0,507","8,1","0,005","2,6",-6684775
5,5,"0,533","6,8","0,004","1,9",-6684775
6,6,"0,551","6,9","0,004","1,7",-6684775
7,7,"0,533","2,0","0,003","1,0",-6684775
8,8,"0,448","3,8","0,004","1,8",-6684775
9,9,"0,603","18,6","0,005","2,3",-6684775
10,10,"0,502","27,0","0,004","4,6",-6684775
11,11,"0,506","1,7","0,005","2,2",-6684775
12,12,"0,584","3,6","0,004","2,0",-6684775
13,13,"0,616","6,1","0,005","2,0",-6684775
14,14,"0,630","2,8","0,003","1,9",-6684775
15,15,"0,584","76,1","0,003","11,4",-6684775
16,16,"0,896","100,2","0,003","5,5",-6684775
17,17,"0,478","0,5","0,002","1,0",-6684775
18,18,"0,897","116,5","0,007","5,8",-6684775
19,19,"0,574","128,4","0,004","4,4",-6684775
20,20,"0,567","12,1","0,003","1,2",-6684775
21,21,"0,646","14,5","0,002","1,1",-6684775
22,22,"0,492","5,3","0,005","1,9",-6684775
23,23,"0,602","13,5","0,004","2,3",-6684775
24,24,"0,610","101,0","0,003","3,9",-6684775
25,25,"0,650","170,0","0,004","3,5",-6684775
26,26,"0,694","197,9","0,002","1,0",-6684775
27,27,"0,736","57,5","0,004","1,1",-6684775
28,28,"0,607","47,3","0,004","2,5",-6684775
29,29,"0,698","33,3","0,004","1,5",-6684775
30,30,"0,642","34,9","0,004","2,7",-6684775
31,31,"0,643","7,1","0,003","1,5",-6684775
32,32,"0,583","7,8","0,003","1,3",-6684775
33,33,"0,549","1,2","0,003","1,8",-6684775
34,34,"0,654","18,4","0,003","1,1",-6684775
35,35,"0,692","3,0","0,003","1,5",-6684775
36,36,"0,661","73,4","0,006","8,6",-6684775
37,37,"0,611","90,0","0,005","7,9",-6684775
38,38,"0,510","9,9","0,003","2,5",-6684775
39,39,"0,508","2,7","0,002","1,3",-6684775
40,40,"0,643","29,4","0,003","1,2",-6684775
41,41,"0,819","28,6","0,003","2,0",-6684775
42,42,"0,728","60,2","0,005","3,2",-6684775
43,43,"0,694","26,7","0,003","1,4",-6684775
44,44,"0,602","58,2","0,002","2,1",-6684775
45,45,"0,653","3,3","0,004","2,0",-6684775
46,46,"0,591","2,5","0,003","1,1",-6684775
47,47,"0,640","30,3","0,002","1,8",-6684775
48,48,"0,695","33,8","0,003","1,4",-6684775
49,49,"0,573","140,6","0,002","9,8",-6684775
50,50,"0,894","125,1","0,004","10,0",-6684775
51,51,"0,442","3,8","0,002","1,3",-6684775
52,52,"0,489","5,1","0,002","1,0",-6684775
53,53,"0,527","6,8","0,004","1,7",-6684775
54,54,"0,572","7,1","0,005","2,6",-6684775
55,55,"0,558","3,7","0,004","2,2",-6684775
56,56,"0,657","7,2","0,003","1,8",-6684775
57,57,"0,607","7,9","0,002","1,2",-6684775
58,58,"0,890","33,3","0,003","1,2",-6684775
59,59,"0,564","17,7","0,003","1,1",-6684775
60,60,"0,608","48,1","0,002","1,7",-6684775
61,61,"0,829","28,5","0,004","2,0",-6684775
62,62,"0,658","80,9","0,004","2,3",-6684775
63,63,"0,581","24,7","0,003","1,8",-6684775
64,64,"0,787","12,3","0,003","2,0",-6684775
65,65,"0,535","6,0","0,002","1,1",-6684775
66,66,"0,586","3,3","0,003","1,7",-6684775
67,67,"0,788","1,9","0,002","1,0",-6684775
68,68,"0,550","48,0","0,002","1,3",-6684775
69,69,"0,578","71,3","0,003","1,6",-6684775
70,70,"0,674","9,2","0,002","2,2",-6684775
71,71,"0,667","87,4","0,003","2,5",-6684775
72,72,"0,637","7,2","0,002","2,2",-6684775
73,73,"0,577","5,4","0,002","1,2",-6684775
74,74,"0,603","29,6","0,002","1,8",-6684775
75,75,"0,586","10,2","0,002","1,0",-6684775
76,76,"0,778","3,7","0,002","1,4",-6684775
77,77,"0,757","161,6","0,003","3,1",-6684775
78,78,"0,531","0,8","0,004","1,3",-6684775
79,79,"0,570","15,5","0,002","1,3",-6684775
80,80,"0,629","60,6","0,002","3,5",-6684775
81,81,"0,615","85,3","0,004","1,6",-6684775
82,82,"0,599","254,3","0,002","3,3",-6684775
83,83,"0,688","28,6","0,002","3,1",-6684775
84,84,"0,568","10,7","0,003","1,3",-6684775
85,85,"0,932","99,3","0,004","1,7",-6684775
86,86,"0,744","99,3","0,003","2,7",-6684775
87,87,"0,931","116,7","0,003","1,6",-6684775
88,88,"0,531","13,3","0,002","1,6",-6684775
89,89,"0,549","13,9","0,002","2,6",-6684775
90,90,"0,554","29,6","0,002","1,2",-6684775
91,91,"0,619","26,2","0,002","1,8",-6684775
92,92,"0,716","2,8","0,003","1,7",-6684775
93,93,"0,984","581,8","0,003","11,4",-6684775
94,94,"0,603","39,7","0,002","2,6",-6684775
